taxonID,vernacularName,references,language,license,rightsHolder,datasetID,datasetName,occurrenceStatus,taxonRank,nomenclaturalCode,scientificName,order,phylum,kingdom,genus,class,status,family,occurrenceRemarks,eventDate,source,locality,countryCode,locationID,threatStatus,establishmentMeans
INBO_RL_BUT_1996_VAL_21,Oranje luzernevlinder,Maes_VanDyck_1999,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Colias croceus (Geoffroy, 1785)",Lepidoptera,Arthropoda,Animalia,Colias,Insecta,ACCEPTED,Pieridae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Niet geëvalueerd,native
INBO_RL_BUT_1996_VAL_22,Gele luzernevlinder,Maes_VanDyck_1999,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Colias hyale (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Colias,Insecta,ACCEPTED,Pieridae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Niet geëvalueerd,native
INBO_RL_BUT_1996_VAL_28,Citroenvlinder,Maes_VanDyck_1999,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Gonepteryx rhamni (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Gonepteryx,Insecta,ACCEPTED,Pieridae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
INBO_RL_BUT_1996_VAL_3,Oranjetipje,Maes_VanDyck_1999,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Anthocharis cardamines (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Anthocharis,Insecta,ACCEPTED,Pieridae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
INBO_RL_BUT_1996_VAL_35,Boswitje,Maes_VanDyck_1999,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Leptidea sinapis (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Leptidea,Insecta,ACCEPTED,Pieridae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Critically Endangered (CR),native
INBO_RL_BUT_1996_VAL_52,Groot koolwitje,Maes_VanDyck_1999,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Pieris brassicae (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Pieris,Insecta,ACCEPTED,Pieridae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
INBO_RL_BUT_1996_VAL_53,Klein geaderd witje,Maes_VanDyck_1999,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Pieris napi (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Pieris,Insecta,ACCEPTED,Pieridae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
INBO_RL_BUT_1996_VAL_54,Klein koolwitje,Maes_VanDyck_1999,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Pieris rapae (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Pieris,Insecta,ACCEPTED,Pieridae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
INBO_RL_BUT_1996_VAL_6,Groot geaderd witje,Maes_VanDyck_1999,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Aporia crataegi (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Aporia,Insecta,ACCEPTED,Pieridae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Uitgestorven in Vlaanderen,native
INBO_RL_BUT_2011_VAL_22,Oranje luzernevlinder,Maes_etal_2011,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Colias croceus (Geoffroy, 1785)",Lepidoptera,Arthropoda,Animalia,Colias,Insecta,ACCEPTED,Pieridae,,2011,Maes_etal_2011,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
INBO_RL_BUT_2011_VAL_23,Gele luzernevlinder,Maes_etal_2011,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Colias hyale (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Colias,Insecta,ACCEPTED,Pieridae,,2011,Maes_etal_2011,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
INBO_RL_BUT_2011_VAL_29,Citroenvlinder,Maes_etal_2011,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Gonepteryx rhamni (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Gonepteryx,Insecta,ACCEPTED,Pieridae,"A2c;B2b(ii,iii)",2011,Maes_etal_2011,Flanders,BE,ISO_3166-2:BE-VLG,Near Threatened (NT),native
INBO_RL_BUT_2011_VAL_3,Oranjetipje,Maes_etal_2011,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Anthocharis cardamines (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Anthocharis,Insecta,ACCEPTED,Pieridae,,2011,Maes_etal_2011,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
INBO_RL_BUT_2011_VAL_36,Boswitje,Maes_etal_2011,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Leptidea sinapis (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Leptidea,Insecta,ACCEPTED,Pieridae,B2b(iii),2011,Maes_etal_2011,Flanders,BE,ISO_3166-2:BE-VLG,Near Threatened (NT),native
INBO_RL_BUT_2011_VAL_53,Groot koolwitje,Maes_etal_2011,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Pieris brassicae (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Pieris,Insecta,ACCEPTED,Pieridae,,2011,Maes_etal_2011,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
INBO_RL_BUT_2011_VAL_54,Klein geaderd witje,Maes_etal_2011,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Pieris napi (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Pieris,Insecta,ACCEPTED,Pieridae,,2011,Maes_etal_2011,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
INBO_RL_BUT_2011_VAL_55,Klein koolwitje,Maes_etal_2011,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Pieris rapae (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Pieris,Insecta,ACCEPTED,Pieridae,,2011,Maes_etal_2011,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
INBO_RL_BUT_2011_VAL_6,Groot geaderd witje,Maes_etal_2011,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/8tk3tk,"Validated Red Lists Flanders Flanders, Belgium",present,species,ICZN,"Aporia crataegi (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Aporia,Insecta,ACCEPTED,Pieridae,,2011,Maes_etal_2011,Flanders,BE,ISO_3166-2:BE-VLG,Uitgestorven in Vlaanderen,native
